Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Feb  6 2022
command line - -import /home/danilo/cbc-test-set/cod105.mps.gz -timeM elapsed -seconds 10800 -solve -quit (default strategy 1)
At line 1 NAME          cod105
At line 2 ROWS
At line 1028 COLUMNS
At line 59399 RHS
At line 60424 BOUNDS
At line 61449 ENDATA
Problem cod105 has 1024 rows, 1024 columns and 57344 elements
Coin0008I cod105 read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is -18.2857 - 16.1239 seconds
Cgl0004I processed model has 1024 rows, 1024 columns (1024 integer (1024 of which binary)) and 57344 elements
Coin3009W Conflict graph built in 0.172 seconds, density: 9.444%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0045I Cutoff increment increased from 0.0001 to 0.9999
Cbc0038I Initial state - 694 integers unsatisfied sum - 18.2857
Cbc0038I Solution found of -0
Cbc0038I Before mini branch and bound, 330 integers at bound fixed and 0 continuous
Cbc0038I Full problem 1024 rows 1024 columns, reduced to 1024 rows 694 columns - too large
Cbc0038I Mini branch and bound did not improve solution (20.02 seconds)
Cbc0038I Round again with cutoff of -2.72848
Cbc0038I Pass   1: suminf.    0.27152 (1) obj. -2.72848 iterations 3023
Cbc0038I Solution found of -3
Cbc0038I Rounding solution of -9 is better than previous of -3
Cbc0038I Before mini branch and bound, 329 integers at bound fixed and 0 continuous
Cbc0038I Full problem 1024 rows 1024 columns, reduced to 1024 rows 695 columns - 2 fixed gives 912, 257 - still too large
Cbc0038I Full problem 1024 rows 1024 columns, reduced to 912 rows 257 columns - too large
Cbc0038I Mini branch and bound did not improve solution (41.53 seconds)
Cbc0038I Round again with cutoff of -11.6571
Cbc0038I Pass   2: suminf.   11.65706 (83) obj. -11.6571 iterations 270
Cbc0038I Pass   3: suminf.    8.02039 (165) obj. -11.6571 iterations 1094
Cbc0038I Pass   4: suminf.    2.44826 (188) obj. -11.6571 iterations 1522
Cbc0038I Solution found of -12
Cbc0038I Before mini branch and bound, 234 integers at bound fixed and 0 continuous
Cbc0038I Mini branch and bound did not improve solution (44.75 seconds)
Cbc0038I Round again with cutoff of -14.5856
Cbc0038I Pass   5: suminf.   14.58564 (166) obj. -14.5856 iterations 723
Cbc0038I Pass   6: suminf.   14.58564 (214) obj. -14.5856 iterations 1053
Cbc0038I Pass   7: suminf.   14.58565 (172) obj. -14.5856 iterations 1594
Cbc0038I Pass   8: suminf.   14.91891 (183) obj. -14.9189 iterations 1310
Cbc0038I Pass   9: suminf.   14.58564 (164) obj. -14.5856 iterations 1666
Cbc0038I Pass  10: suminf.   14.60790 (173) obj. -14.6079 iterations 1369
Cbc0038I Pass  11: suminf.   15.14544 (194) obj. -15.1454 iterations 1571
Cbc0038I Pass  12: suminf.   14.99747 (187) obj. -14.9975 iterations 1723
Cbc0038I Pass  13: suminf.   15.22992 (200) obj. -15.2299 iterations 1554
Cbc0038I Pass  14: suminf.   14.84902 (181) obj. -14.849 iterations 1644
Cbc0038I Pass  15: suminf.   14.80463 (180) obj. -14.8046 iterations 1777
Cbc0038I Pass  16: suminf.   14.97305 (182) obj. -14.973 iterations 1624
Cbc0038I Pass  17: suminf.   14.96192 (179) obj. -14.9619 iterations 1590
Cbc0038I Pass  18: suminf.   14.87465 (180) obj. -14.8747 iterations 1441
Cbc0038I No solution found this major pass
Cbc0038I After 68.97 seconds - Feasibility pump exiting with objective of -12 - took 50.03 seconds
Cbc0012I Integer solution of -12 found by feasibility pump after 0 iterations and 0 nodes (68.97 seconds)
Cbc0038I Full problem 1024 rows 1024 columns, reduced to 1024 rows 698 columns - 12 fixed gives 0, 0 - ok now
Cbc0013I At root node, 0 cuts changed objective from -18.285714 to -18.285714 in 1 passes
Cbc0014I Cut generator 0 (Probing) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.321 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 1.259 seconds - new frequency is -100
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 3 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.111 seconds - new frequency is -100
Cbc0014I Cut generator 4 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 2.111 seconds - new frequency is -100
Cbc0014I Cut generator 5 (MixedIntegerRounding2) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.023 seconds - new frequency is -100
Cbc0014I Cut generator 6 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, -12 best solution, best possible -18.285714 (532.44 seconds)
Cbc0010I After 8236 nodes, 717 on tree, -12 best solution, best possible -18.285714 (5415.12 seconds)
Cbc0010I After 8237 nodes, 717 on tree, -12 best solution, best possible -18.285714 (5418.00 seconds)
Cbc0010I After 8238 nodes, 718 on tree, -12 best solution, best possible -18.285714 (5419.72 seconds)
Cbc0010I After 8240 nodes, 720 on tree, -12 best solution, best possible -18.285714 (5421.22 seconds)
Cbc0010I After 8242 nodes, 722 on tree, -12 best solution, best possible -18.285714 (5422.49 seconds)
Cbc0010I After 8245 nodes, 725 on tree, -12 best solution, best possible -18.285714 (5423.42 seconds)
Cbc0010I After 8250 nodes, 730 on tree, -12 best solution, best possible -18.285714 (5424.71 seconds)
Cbc0010I After 8252 nodes, 732 on tree, -12 best solution, best possible -18.285714 (5425.56 seconds)
Cbc0010I After 8255 nodes, 735 on tree, -12 best solution, best possible -18.285714 (5426.32 seconds)
Cbc0010I After 8258 nodes, 738 on tree, -12 best solution, best possible -18.285714 (5427.13 seconds)
Cbc0010I After 8261 nodes, 741 on tree, -12 best solution, best possible -18.285714 (5428.09 seconds)
Cbc0010I After 8265 nodes, 745 on tree, -12 best solution, best possible -18.285714 (5428.92 seconds)
Cbc0010I After 8269 nodes, 749 on tree, -12 best solution, best possible -18.285714 (5429.70 seconds)
Cbc0010I After 8273 nodes, 753 on tree, -12 best solution, best possible -18.285714 (5430.45 seconds)
Cbc0010I After 8277 nodes, 757 on tree, -12 best solution, best possible -18.285714 (5431.50 seconds)
Cbc0010I After 8282 nodes, 762 on tree, -12 best solution, best possible -18.285714 (5432.24 seconds)
Cbc0010I After 8288 nodes, 768 on tree, -12 best solution, best possible -18.285714 (5432.97 seconds)
Cbc0010I After 8296 nodes, 773 on tree, -12 best solution, best possible -18.285714 (5433.71 seconds)
Cbc0010I After 8307 nodes, 762 on tree, -12 best solution, best possible -18.285714 (5434.46 seconds)
Cbc0010I After 8314 nodes, 755 on tree, -12 best solution, best possible -18.285714 (5435.22 seconds)
Cbc0010I After 8321 nodes, 748 on tree, -12 best solution, best possible -18.285714 (5435.93 seconds)
Cbc0010I After 8326 nodes, 743 on tree, -12 best solution, best possible -18.285714 (5436.66 seconds)
Cbc0010I After 8330 nodes, 739 on tree, -12 best solution, best possible -18.285714 (5437.40 seconds)
Cbc0010I After 8334 nodes, 735 on tree, -12 best solution, best possible -18.285714 (5438.23 seconds)
Cbc0010I After 8338 nodes, 731 on tree, -12 best solution, best possible -18.285714 (5439.24 seconds)
Cbc0010I After 8341 nodes, 728 on tree, -12 best solution, best possible -18.285714 (5440.26 seconds)
Cbc0010I After 8344 nodes, 725 on tree, -12 best solution, best possible -18.285714 (5441.29 seconds)
Cbc0010I After 8346 nodes, 723 on tree, -12 best solution, best possible -18.285714 (5442.09 seconds)
Cbc0010I After 8348 nodes, 721 on tree, -12 best solution, best possible -18.285714 (5442.84 seconds)
Cbc0010I After 8350 nodes, 719 on tree, -12 best solution, best possible -18.285714 (5443.90 seconds)
Cbc0010I After 8352 nodes, 717 on tree, -12 best solution, best possible -18.285714 (5444.99 seconds)
Cbc0010I After 8354 nodes, 716 on tree, -12 best solution, best possible -18.285714 (5448.23 seconds)
Cbc0010I After 8355 nodes, 717 on tree, -12 best solution, best possible -18.285714 (5449.28 seconds)
Cbc0010I After 8356 nodes, 718 on tree, -12 best solution, best possible -18.285714 (5450.78 seconds)
Cbc0010I After 8357 nodes, 719 on tree, -12 best solution, best possible -18.285714 (5451.56 seconds)
Cbc0010I After 8359 nodes, 721 on tree, -12 best solution, best possible -18.285714 (5452.27 seconds)
Cbc0010I After 8362 nodes, 724 on tree, -12 best solution, best possible -18.285714 (5453.53 seconds)
Cbc0010I After 8365 nodes, 727 on tree, -12 best solution, best possible -18.285714 (5454.63 seconds)
Cbc0010I After 8367 nodes, 729 on tree, -12 best solution, best possible -18.285714 (5455.38 seconds)
Cbc0010I After 8370 nodes, 732 on tree, -12 best solution, best possible -18.285714 (5456.31 seconds)
Cbc0010I After 8374 nodes, 736 on tree, -12 best solution, best possible -18.285714 (5457.31 seconds)
Cbc0010I After 8377 nodes, 739 on tree, -12 best solution, best possible -18.285714 (5458.07 seconds)
Cbc0010I After 8380 nodes, 742 on tree, -12 best solution, best possible -18.285714 (5458.97 seconds)
Cbc0010I After 8383 nodes, 745 on tree, -12 best solution, best possible -18.285714 (5459.94 seconds)
Cbc0010I After 8387 nodes, 749 on tree, -12 best solution, best possible -18.285714 (5461.01 seconds)
Cbc0010I After 8392 nodes, 754 on tree, -12 best solution, best possible -18.285714 (5461.85 seconds)
Cbc0010I After 8396 nodes, 758 on tree, -12 best solution, best possible -18.285714 (5462.62 seconds)
Cbc0010I After 8398 nodes, 760 on tree, -12 best solution, best possible -18.285714 (5463.34 seconds)
Cbc0010I After 8401 nodes, 763 on tree, -12 best solution, best possible -18.285714 (5464.15 seconds)
Cbc0010I After 8405 nodes, 767 on tree, -12 best solution, best possible -18.285714 (5465.00 seconds)
Cbc0010I After 8413 nodes, 775 on tree, -12 best solution, best possible -18.285714 (5465.74 seconds)
Cbc0010I After 8419 nodes, 774 on tree, -12 best solution, best possible -18.285714 (5466.47 seconds)
Cbc0010I After 8431 nodes, 762 on tree, -12 best solution, best possible -18.285714 (5467.25 seconds)
Cbc0010I After 8438 nodes, 755 on tree, -12 best solution, best possible -18.285714 (5468.01 seconds)
Cbc0010I After 8444 nodes, 749 on tree, -12 best solution, best possible -18.285714 (5468.83 seconds)
Cbc0010I After 8449 nodes, 744 on tree, -12 best solution, best possible -18.285714 (5469.64 seconds)
Cbc0010I After 8453 nodes, 740 on tree, -12 best solution, best possible -18.285714 (5470.49 seconds)
Cbc0010I After 8457 nodes, 736 on tree, -12 best solution, best possible -18.285714 (5471.52 seconds)
Cbc0010I After 8460 nodes, 733 on tree, -12 best solution, best possible -18.285714 (5472.25 seconds)
Cbc0010I After 8463 nodes, 730 on tree, -12 best solution, best possible -18.285714 (5473.15 seconds)
Cbc0010I After 8466 nodes, 727 on tree, -12 best solution, best possible -18.285714 (5474.03 seconds)
Cbc0010I After 8469 nodes, 724 on tree, -12 best solution, best possible -18.285714 (5474.90 seconds)
Cbc0010I After 8471 nodes, 722 on tree, -12 best solution, best possible -18.285714 (5475.62 seconds)
Cbc0010I After 8473 nodes, 720 on tree, -12 best solution, best possible -18.285714 (5476.46 seconds)
Cbc0010I After 8475 nodes, 718 on tree, -12 best solution, best possible -18.285714 (5477.42 seconds)
Cbc0010I After 8477 nodes, 716 on tree, -12 best solution, best possible -18.285714 (5478.50 seconds)
Cbc0010I After 8478 nodes, 715 on tree, -12 best solution, best possible -18.285714 (5479.24 seconds)
Cbc0010I After 8479 nodes, 715 on tree, -12 best solution, best possible -18.285714 (5481.80 seconds)
Cbc0010I After 8480 nodes, 716 on tree, -12 best solution, best possible -18.285714 (5482.60 seconds)
Cbc0010I After 8482 nodes, 718 on tree, -12 best solution, best possible -18.285714 (5483.62 seconds)
Cbc0010I After 8484 nodes, 720 on tree, -12 best solution, best possible -18.285714 (5484.65 seconds)
Cbc0010I After 8487 nodes, 723 on tree, -12 best solution, best possible -18.285714 (5485.68 seconds)
Cbc0010I After 8491 nodes, 727 on tree, -12 best solution, best possible -18.285714 (5486.70 seconds)
Cbc0010I After 8493 nodes, 729 on tree, -12 best solution, best possible -18.285714 (5487.73 seconds)
Cbc0010I After 8497 nodes, 733 on tree, -12 best solution, best possible -18.285714 (5488.55 seconds)
Cbc0010I After 8500 nodes, 736 on tree, -12 best solution, best possible -18.285714 (5489.45 seconds)
Cbc0010I After 8503 nodes, 739 on tree, -12 best solution, best possible -18.285714 (5490.25 seconds)
Cbc0010I After 8505 nodes, 741 on tree, -12 best solution, best possible -18.285714 (5491.76 seconds)
Cbc0010I After 8515 nodes, 732 on tree, -12 best solution, best possible -18.285714 (5492.51 seconds)
Cbc0010I After 8520 nodes, 727 on tree, -12 best solution, best possible -18.285714 (5493.30 seconds)
Cbc0010I After 8525 nodes, 722 on tree, -12 best solution, best possible -18.285714 (5494.11 seconds)
Cbc0010I After 8528 nodes, 719 on tree, -12 best solution, best possible -18.285714 (5494.82 seconds)
Cbc0010I After 8532 nodes, 715 on tree, -12 best solution, best possible -18.285714 (5495.91 seconds)
Cbc0010I After 8534 nodes, 714 on tree, -12 best solution, best possible -18.285714 (5499.16 seconds)
Cbc0010I After 8535 nodes, 715 on tree, -12 best solution, best possible -18.285714 (5500.25 seconds)
Cbc0010I After 8536 nodes, 716 on tree, -12 best solution, best possible -18.285714 (5501.11 seconds)
Cbc0010I After 8539 nodes, 719 on tree, -12 best solution, best possible -18.285714 (5501.89 seconds)
Cbc0010I After 8542 nodes, 722 on tree, -12 best solution, best possible -18.285714 (5502.93 seconds)
Cbc0010I After 8546 nodes, 726 on tree, -12 best solution, best possible -18.285714 (5503.90 seconds)
Cbc0010I After 8548 nodes, 728 on tree, -12 best solution, best possible -18.285714 (5504.97 seconds)
Cbc0010I After 8552 nodes, 732 on tree, -12 best solution, best possible -18.285714 (5505.79 seconds)
Cbc0010I After 8554 nodes, 734 on tree, -12 best solution, best possible -18.285714 (5506.56 seconds)
Cbc0010I After 8557 nodes, 737 on tree, -12 best solution, best possible -18.285714 (5507.40 seconds)
Cbc0010I After 8560 nodes, 740 on tree, -12 best solution, best possible -18.285714 (5508.27 seconds)
Cbc0010I After 8563 nodes, 743 on tree, -12 best solution, best possible -18.285714 (5509.06 seconds)
Cbc0010I After 8566 nodes, 746 on tree, -12 best solution, best possible -18.285714 (5509.95 seconds)
Cbc0010I After 8568 nodes, 748 on tree, -12 best solution, best possible -18.285714 (5510.84 seconds)
Cbc0010I After 8571 nodes, 751 on tree, -12 best solution, best possible -18.285714 (5511.55 seconds)
Cbc0010I After 8574 nodes, 754 on tree, -12 best solution, best possible -18.285714 (5512.51 seconds)
Cbc0010I After 8583 nodes, 746 on tree, -12 best solution, best possible -18.285714 (5513.22 seconds)
Cbc0010I After 8589 nodes, 740 on tree, -12 best solution, best possible -18.285714 (5513.99 seconds)
Cbc0010I After 8594 nodes, 735 on tree, -12 best solution, best possible -18.285714 (5514.93 seconds)
Cbc0010I After 8598 nodes, 731 on tree, -12 best solution, best possible -18.285714 (5515.92 seconds)
Cbc0010I After 8601 nodes, 728 on tree, -12 best solution, best possible -18.285714 (5516.62 seconds)
Cbc0010I After 8604 nodes, 725 on tree, -12 best solution, best possible -18.285714 (5517.32 seconds)
Cbc0010I After 8607 nodes, 722 on tree, -12 best solution, best possible -18.285714 (5518.20 seconds)
Cbc0010I After 8609 nodes, 720 on tree, -12 best solution, best possible -18.285714 (5518.91 seconds)
Cbc0010I After 8611 nodes, 718 on tree, -12 best solution, best possible -18.285714 (5519.67 seconds)
Cbc0010I After 8613 nodes, 716 on tree, -12 best solution, best possible -18.285714 (5520.46 seconds)
Cbc0010I After 8615 nodes, 714 on tree, -12 best solution, best possible -18.285714 (5521.43 seconds)
Cbc0010I After 8617 nodes, 713 on tree, -12 best solution, best possible -18.285714 (5525.50 seconds)
Cbc0010I After 8618 nodes, 714 on tree, -12 best solution, best possible -18.285714 (5527.12 seconds)
Cbc0010I After 8620 nodes, 716 on tree, -12 best solution, best possible -18.285714 (5528.05 seconds)
Cbc0010I After 8621 nodes, 717 on tree, -12 best solution, best possible -18.285714 (5528.81 seconds)
Cbc0010I After 8623 nodes, 719 on tree, -12 best solution, best possible -18.285714 (5529.61 seconds)
Cbc0010I After 8625 nodes, 721 on tree, -12 best solution, best possible -18.285714 (5530.52 seconds)
Cbc0010I After 8628 nodes, 724 on tree, -12 best solution, best possible -18.285714 (5531.57 seconds)
Cbc0010I After 8631 nodes, 727 on tree, -12 best solution, best possible -18.285714 (5532.46 seconds)
Cbc0010I After 8634 nodes, 730 on tree, -12 best solution, best possible -18.285714 (5533.62 seconds)
Cbc0010I After 8637 nodes, 733 on tree, -12 best solution, best possible -18.285714 (5534.56 seconds)
Cbc0010I After 8640 nodes, 736 on tree, -12 best solution, best possible -18.285714 (5535.57 seconds)
Cbc0010I After 8642 nodes, 738 on tree, -12 best solution, best possible -18.285714 (5536.28 seconds)
Cbc0010I After 8644 nodes, 740 on tree, -12 best solution, best possible -18.285714 (5537.11 seconds)
Cbc0010I After 8648 nodes, 744 on tree, -12 best solution, best possible -18.285714 (5538.15 seconds)
Cbc0010I After 8652 nodes, 748 on tree, -12 best solution, best possible -18.285714 (5539.00 seconds)
Cbc0010I After 8656 nodes, 752 on tree, -12 best solution, best possible -18.285714 (5539.79 seconds)
Cbc0010I After 8661 nodes, 756 on tree, -12 best solution, best possible -18.285714 (5540.53 seconds)
Cbc0010I After 8671 nodes, 746 on tree, -12 best solution, best possible -18.285714 (5541.25 seconds)
Cbc0010I After 8677 nodes, 740 on tree, -12 best solution, best possible -18.285714 (5542.07 seconds)
Cbc0010I After 8681 nodes, 736 on tree, -12 best solution, best possible -18.285714 (5542.86 seconds)
Cbc0010I After 8685 nodes, 732 on tree, -12 best solution, best possible -18.285714 (5543.81 seconds)
Cbc0010I After 8688 nodes, 729 on tree, -12 best solution, best possible -18.285714 (5544.69 seconds)
Cbc0010I After 8690 nodes, 727 on tree, -12 best solution, best possible -18.285714 (5545.45 seconds)
Cbc0010I After 8693 nodes, 724 on tree, -12 best solution, best possible -18.285714 (5546.50 seconds)
Cbc0010I After 8695 nodes, 722 on tree, -12 best solution, best possible -18.285714 (5547.34 seconds)
Cbc0010I After 8697 nodes, 720 on tree, -12 best solution, best possible -18.285714 (5548.19 seconds)
Cbc0010I After 8699 nodes, 718 on tree, -12 best solution, best possible -18.285714 (5549.18 seconds)
Cbc0010I After 8701 nodes, 716 on tree, -12 best solution, best possible -18.285714 (5550.24 seconds)
Cbc0010I After 8703 nodes, 714 on tree, -12 best solution, best possible -18.285714 (5551.39 seconds)
Cbc0010I After 8705 nodes, 712 on tree, -12 best solution, best possible -18.285714 (5552.81 seconds)
Cbc0010I After 8706 nodes, 712 on tree, -12 best solution, best possible -18.285714 (5555.12 seconds)
Cbc0010I After 8707 nodes, 713 on tree, -12 best solution, best possible -18.285714 (5556.80 seconds)
Cbc0010I After 8708 nodes, 714 on tree, -12 best solution, best possible -18.285714 (5557.76 seconds)
Cbc0010I After 8710 nodes, 716 on tree, -12 best solution, best possible -18.285714 (5558.51 seconds)
Cbc0010I After 8712 nodes, 718 on tree, -12 best solution, best possible -18.285714 (5559.53 seconds)
Cbc0010I After 8714 nodes, 720 on tree, -12 best solution, best possible -18.285714 (5560.28 seconds)
Cbc0010I After 8716 nodes, 722 on tree, -12 best solution, best possible -18.285714 (5561.17 seconds)
Cbc0010I After 8718 nodes, 724 on tree, -12 best solution, best possible -18.285714 (5561.97 seconds)
Cbc0010I After 8720 nodes, 726 on tree, -12 best solution, best possible -18.285714 (5562.73 seconds)
Cbc0010I After 8723 nodes, 729 on tree, -12 best solution, best possible -18.285714 (5563.60 seconds)
Cbc0010I After 8726 nodes, 732 on tree, -12 best solution, best possible -18.285714 (5564.32 seconds)
Cbc0010I After 8731 nodes, 737 on tree, -12 best solution, best possible -18.285714 (5565.08 seconds)
Cbc0010I After 8735 nodes, 741 on tree, -12 best solution, best possible -18.285714 (5566.02 seconds)
Cbc0010I After 8739 nodes, 745 on tree, -12 best solution, best possible -18.285714 (5567.05 seconds)
Cbc0010I After 8741 nodes, 747 on tree, -12 best solution, best possible -18.285714 (5567.78 seconds)
Cbc0010I After 8746 nodes, 752 on tree, -12 best solution, best possible -18.285714 (5568.54 seconds)
Cbc0010I After 8750 nodes, 756 on tree, -12 best solution, best possible -18.285714 (5569.37 seconds)
Cbc0010I After 8753 nodes, 759 on tree, -12 best solution, best possible -18.285714 (5570.13 seconds)
Cbc0010I After 8755 nodes, 761 on tree, -12 best solution, best possible -18.285714 (5570.91 seconds)
Cbc0010I After 8757 nodes, 763 on tree, -12 best solution, best possible -18.285714 (5571.63 seconds)
Cbc0010I After 8766 nodes, 761 on tree, -12 best solution, best possible -18.285714 (5572.39 seconds)
Cbc0010I After 8776 nodes, 751 on tree, -12 best solution, best possible -18.285714 (5573.20 seconds)
Cbc0010I After 8783 nodes, 744 on tree, -12 best solution, best possible -18.285714 (5573.97 seconds)
Cbc0010I After 8788 nodes, 739 on tree, -12 best solution, best possible -18.285714 (5574.68 seconds)
Cbc0010I After 8793 nodes, 734 on tree, -12 best solution, best possible -18.285714 (5575.61 seconds)
Cbc0010I After 8797 nodes, 730 on tree, -12 best solution, best possible -18.285714 (5576.45 seconds)
Cbc0010I After 8800 nodes, 727 on tree, -12 best solution, best possible -18.285714 (5577.35 seconds)
Cbc0010I After 8803 nodes, 724 on tree, -12 best solution, best possible -18.285714 (5578.43 seconds)
Cbc0010I After 8805 nodes, 722 on tree, -12 best solution, best possible -18.285714 (5579.24 seconds)
Cbc0010I After 8807 nodes, 720 on tree, -12 best solution, best possible -18.285714 (5580.06 seconds)
Cbc0010I After 8809 nodes, 718 on tree, -12 best solution, best possible -18.285714 (5580.85 seconds)
Cbc0010I After 8811 nodes, 716 on tree, -12 best solution, best possible -18.285714 (5581.80 seconds)
Cbc0010I After 8813 nodes, 714 on tree, -12 best solution, best possible -18.285714 (5582.78 seconds)
Cbc0010I After 8815 nodes, 712 on tree, -12 best solution, best possible -18.285714 (5583.85 seconds)
Cbc0010I After 8817 nodes, 711 on tree, -12 best solution, best possible -18.285714 (5587.03 seconds)
Cbc0010I After 8818 nodes, 712 on tree, -12 best solution, best possible -18.285714 (5587.79 seconds)
Cbc0010I After 8819 nodes, 713 on tree, -12 best solution, best possible -18.285714 (5588.65 seconds)
Cbc0010I After 8821 nodes, 715 on tree, -12 best solution, best possible -18.285714 (5589.55 seconds)
Cbc0010I After 8823 nodes, 717 on tree, -12 best solution, best possible -18.285714 (5590.45 seconds)
Cbc0010I After 8826 nodes, 720 on tree, -12 best solution, best possible -18.285714 (5591.56 seconds)
Cbc0010I After 8829 nodes, 723 on tree, -12 best solution, best possible -18.285714 (5592.55 seconds)
Cbc0010I After 8832 nodes, 726 on tree, -12 best solution, best possible -18.285714 (5593.30 seconds)
Cbc0010I After 8837 nodes, 731 on tree, -12 best solution, best possible -18.285714 (5594.41 seconds)
Cbc0010I After 8842 nodes, 736 on tree, -12 best solution, best possible -18.285714 (5595.37 seconds)
Cbc0010I After 8846 nodes, 740 on tree, -12 best solution, best possible -18.285714 (5596.15 seconds)
Cbc0010I After 8849 nodes, 743 on tree, -12 best solution, best possible -18.285714 (5596.97 seconds)
Cbc0010I After 8854 nodes, 748 on tree, -12 best solution, best possible -18.285714 (5597.84 seconds)
Cbc0010I After 8856 nodes, 750 on tree, -12 best solution, best possible -18.285714 (5598.58 seconds)
Cbc0010I After 8858 nodes, 752 on tree, -12 best solution, best possible -18.285714 (5599.38 seconds)
Cbc0010I After 8862 nodes, 756 on tree, -12 best solution, best possible -18.285714 (5600.29 seconds)
Cbc0010I After 8865 nodes, 759 on tree, -12 best solution, best possible -18.285714 (5601.00 seconds)
Cbc0010I After 8870 nodes, 764 on tree, -12 best solution, best possible -18.285714 (5601.74 seconds)
Cbc0010I After 8876 nodes, 770 on tree, -12 best solution, best possible -18.285714 (5602.47 seconds)
Cbc0010I After 8882 nodes, 776 on tree, -12 best solution, best possible -18.285714 (5603.21 seconds)
Cbc0010I After 8886 nodes, 780 on tree, -12 best solution, best possible -18.285714 (5603.99 seconds)
Cbc0010I After 8892 nodes, 786 on tree, -12 best solution, best possible -18.285714 (5604.77 seconds)
Cbc0010I After 8902 nodes, 789 on tree, -12 best solution, best possible -18.285714 (5605.51 seconds)
Cbc0010I After 8912 nodes, 779 on tree, -12 best solution, best possible -18.285714 (5606.25 seconds)
Cbc0010I After 8919 nodes, 772 on tree, -12 best solution, best possible -18.285714 (5607.04 seconds)
Cbc0010I After 8924 nodes, 767 on tree, -12 best solution, best possible -18.285714 (5607.78 seconds)
Cbc0010I After 8930 nodes, 761 on tree, -12 best solution, best possible -18.285714 (5608.51 seconds)
Cbc0010I After 8936 nodes, 755 on tree, -12 best solution, best possible -18.285714 (5609.38 seconds)
Cbc0010I After 8941 nodes, 750 on tree, -12 best solution, best possible -18.285714 (5610.14 seconds)
Cbc0010I After 8945 nodes, 746 on tree, -12 best solution, best possible -18.285714 (5610.98 seconds)
Cbc0010I After 8948 nodes, 743 on tree, -12 best solution, best possible -18.285714 (5611.69 seconds)
Cbc0010I After 8951 nodes, 740 on tree, -12 best solution, best possible -18.285714 (5612.48 seconds)
Cbc0010I After 8954 nodes, 737 on tree, -12 best solution, best possible -18.285714 (5613.31 seconds)
Cbc0010I After 8957 nodes, 734 on tree, -12 best solution, best possible -18.285714 (5614.27 seconds)
Cbc0010I After 8960 nodes, 731 on tree, -12 best solution, best possible -18.285714 (5615.25 seconds)
Cbc0010I After 8963 nodes, 728 on tree, -12 best solution, best possible -18.285714 (5616.27 seconds)
Cbc0010I After 8966 nodes, 725 on tree, -12 best solution, best possible -18.285714 (5617.36 seconds)
Cbc0010I After 8968 nodes, 723 on tree, -12 best solution, best possible -18.285714 (5618.17 seconds)
Cbc0010I After 8970 nodes, 721 on tree, -12 best solution, best possible -18.285714 (5618.89 seconds)
Cbc0010I After 8972 nodes, 719 on tree, -12 best solution, best possible -18.285714 (5619.73 seconds)
Cbc0010I After 8974 nodes, 717 on tree, -12 best solution, best possible -18.285714 (5620.45 seconds)
Cbc0010I After 8976 nodes, 715 on tree, -12 best solution, best possible -18.285714 (5621.66 seconds)
Cbc0010I After 8978 nodes, 713 on tree, -12 best solution, best possible -18.285714 (5622.59 seconds)
Cbc0010I After 8980 nodes, 711 on tree, -12 best solution, best possible -18.285714 (5623.84 seconds)
Cbc0010I After 8982 nodes, 710 on tree, -12 best solution, best possible -18.285714 (5627.98 seconds)
Cbc0010I After 8983 nodes, 711 on tree, -12 best solution, best possible -18.285714 (5629.02 seconds)
Cbc0010I After 8985 nodes, 713 on tree, -12 best solution, best possible -18.285714 (5630.49 seconds)
Cbc0010I After 8986 nodes, 714 on tree, -12 best solution, best possible -18.285714 (5631.30 seconds)
Cbc0010I After 8989 nodes, 717 on tree, -12 best solution, best possible -18.285714 (5632.72 seconds)
Cbc0010I After 8992 nodes, 720 on tree, -12 best solution, best possible -18.285714 (5633.58 seconds)
Cbc0010I After 8993 nodes, 721 on tree, -12 best solution, best possible -18.285714 (5634.32 seconds)
Cbc0010I After 8995 nodes, 723 on tree, -12 best solution, best possible -18.285714 (5635.10 seconds)
Cbc0010I After 8998 nodes, 726 on tree, -12 best solution, best possible -18.285714 (5635.86 seconds)
Cbc0010I After 9001 nodes, 729 on tree, -12 best solution, best possible -18.285714 (5636.72 seconds)
Cbc0010I After 9002 nodes, 729 on tree, -12 best solution, best possible -18.285714 (5641.51 seconds)
Cbc0010I After 9003 nodes, 730 on tree, -12 best solution, best possible -18.285714 (5643.41 seconds)
Cbc0010I After 9004 nodes, 731 on tree, -12 best solution, best possible -18.285714 (5644.61 seconds)
