Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/neos-2652786-brda.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/neos-2652786-brda.txt -quit (default strategy 1)
At line 1 NAME          neos-2652786-brda
At line 2 ROWS
At line 346 COLUMNS
At line 2071 RHS
At line 2144 BOUNDS
At line 2658 ENDATA
Problem neos-2652786-brda has 342 rows, 524 columns and 1690 elements
Coin0008I neos-2652786-brda read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 0 - 0.028325 seconds
Cgl0004I processed model has 256 rows, 436 columns (436 integer (199 of which binary)) and 1474 elements
Coin3009W Conflict graph built in 0.001 seconds, density: 0.107%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 90 integers unsatisfied sum - 13.4999
Cbc0038I Pass   1: suminf.   11.78677 (51) obj. 34.5156 iterations 69
Cbc0038I Pass   2: suminf.    9.27315 (36) obj. 29.7689 iterations 73
Cbc0038I Solution found of 29.7689
Cbc0038I Branch and bound needed to clear up 36 general integers
Cbc0038I Mini branch and bound could not fix general integers
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 318 integers at bound fixed and 0 continuous
Cbc0038I Full problem 256 rows 436 columns, reduced to 55 rows 51 columns
Cbc0038I Mini branch and bound improved solution from 1e+50 to 18.7873 (1.24 seconds)
Cbc0038I Round again with cutoff of 16.9085
Cbc0038I Pass   3: suminf.   11.40381 (48) obj. 16.9085 iterations 17
Cbc0038I Pass   4: suminf.    8.41999 (40) obj. 16.9085 iterations 41
Cbc0038I Solution found of 16.9085
Cbc0038I Branch and bound needed to clear up 40 general integers
Cbc0038I Full problem 257 rows 436 columns, reduced to 79 rows 87 columns
Cbc0038I Mini branch and bound could not fix general integers
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 322 integers at bound fixed and 0 continuous
Cbc0038I Full problem 256 rows 436 columns, reduced to 54 rows 53 columns
Cbc0038I Mini branch and bound did not improve solution (2.04 seconds)
Cbc0038I After 2.04 seconds - Feasibility pump exiting with objective of 18.7873 - took 4.96 seconds
Cbc0012I Integer solution of 18.787275 found by feasibility pump after 0 iterations and 0 nodes (2.04 seconds)
Cbc0038I Full problem 256 rows 436 columns, reduced to 45 rows 36 columns
Cbc0031I 17 added rows had average density of 42.117647
Cbc0013I At root node, 17 cuts changed objective from 0 to 0 in 17 passes
Cbc0014I Cut generator 0 (Probing) - 9 row cuts average 17.6 elements, 0 column cuts (0 active)  in 0.182 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 72 row cuts average 145.3 elements, 0 column cuts (0 active)  in 0.130 seconds - new frequency is -100
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.034 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.049 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.015 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 31 row cuts average 20.8 elements, 0 column cuts (0 active)  in 0.021 seconds - new frequency is -100
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.025 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 146 row cuts average 127.6 elements, 0 column cuts (0 active)  in 0.183 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, 18.787275 best solution, best possible 0 (4.81 seconds)
Cbc0010I After 221328 nodes, 14170 on tree, 18.787275 best solution, best possible 0 (592.22 seconds)
Cbc0010I After 221581 nodes, 14235 on tree, 18.787275 best solution, best possible 0 (592.92 seconds)
Cbc0010I After 221721 nodes, 14307 on tree, 18.787275 best solution, best possible 0 (593.63 seconds)
Cbc0010I After 221894 nodes, 14372 on tree, 18.787275 best solution, best possible 0 (594.33 seconds)
Cbc0010I After 222127 nodes, 14374 on tree, 18.787275 best solution, best possible 0 (595.04 seconds)
Cbc0010I After 222677 nodes, 14360 on tree, 18.787275 best solution, best possible 0 (595.74 seconds)
Cbc0010I After 223097 nodes, 14372 on tree, 18.787275 best solution, best possible 0 (596.44 seconds)
Cbc0010I After 223473 nodes, 14385 on tree, 18.787275 best solution, best possible 0 (597.14 seconds)
Cbc0010I After 223879 nodes, 14427 on tree, 18.787275 best solution, best possible 0 (597.84 seconds)
Cbc0010I After 224226 nodes, 14396 on tree, 18.787275 best solution, best possible 0 (598.55 seconds)
Cbc0010I After 224640 nodes, 14339 on tree, 18.787275 best solution, best possible 0 (599.26 seconds)
Cbc0010I After 225012 nodes, 14316 on tree, 18.787275 best solution, best possible 0 (599.97 seconds)
Cbc0010I After 225160 nodes, 14311 on tree, 18.787275 best solution, best possible 0 (600.68 seconds)
Cbc0010I After 225306 nodes, 14327 on tree, 18.787275 best solution, best possible 0 (601.38 seconds)
Cbc0010I After 225454 nodes, 14358 on tree, 18.787275 best solution, best possible 0 (602.09 seconds)
Cbc0010I After 225581 nodes, 14408 on tree, 18.787275 best solution, best possible 0 (602.79 seconds)
Cbc0010I After 225725 nodes, 14481 on tree, 18.787275 best solution, best possible 0 (603.50 seconds)
Cbc0010I After 225878 nodes, 14559 on tree, 18.787275 best solution, best possible 0 (604.20 seconds)
Cbc0010I After 225964 nodes, 14602 on tree, 18.787275 best solution, best possible 0 (604.90 seconds)
Cbc0010I After 226157 nodes, 14632 on tree, 18.787275 best solution, best possible 0 (605.60 seconds)
Cbc0010I After 226638 nodes, 14631 on tree, 18.787275 best solution, best possible 0 (606.31 seconds)
Cbc0010I After 227023 nodes, 14646 on tree, 18.787275 best solution, best possible 0 (607.01 seconds)
Cbc0010I After 227285 nodes, 14674 on tree, 18.787275 best solution, best possible 0 (607.71 seconds)
Cbc0010I After 227490 nodes, 14689 on tree, 18.787275 best solution, best possible 0 (608.43 seconds)
Cbc0010I After 227955 nodes, 14713 on tree, 18.787275 best solution, best possible 0 (609.13 seconds)
Cbc0010I After 228375 nodes, 14706 on tree, 18.787275 best solution, best possible 0 (609.83 seconds)
Cbc0010I After 228764 nodes, 14697 on tree, 18.787275 best solution, best possible 0 (610.53 seconds)
Cbc0010I After 229071 nodes, 14682 on tree, 18.787275 best solution, best possible 0 (611.26 seconds)
Cbc0010I After 229245 nodes, 14675 on tree, 18.787275 best solution, best possible 0 (611.97 seconds)
Cbc0010I After 229395 nodes, 14697 on tree, 18.787275 best solution, best possible 0 (612.67 seconds)
Cbc0010I After 229548 nodes, 14783 on tree, 18.787275 best solution, best possible 0 (613.39 seconds)
Cbc0010I After 229698 nodes, 14867 on tree, 18.787275 best solution, best possible 0 (614.10 seconds)
Cbc0010I After 229807 nodes, 14924 on tree, 18.787275 best solution, best possible 0 (614.80 seconds)
Cbc0010I After 230044 nodes, 14999 on tree, 18.787275 best solution, best possible 0 (615.50 seconds)
Cbc0010I After 230571 nodes, 15039 on tree, 18.787275 best solution, best possible 0 (616.21 seconds)
Cbc0010I After 231249 nodes, 15079 on tree, 18.787275 best solution, best possible 0 (616.91 seconds)
Cbc0010I After 231800 nodes, 15073 on tree, 18.787275 best solution, best possible 0 (617.61 seconds)
Cbc0010I After 232324 nodes, 15072 on tree, 18.787275 best solution, best possible 0 (618.31 seconds)
Cbc0010I After 232962 nodes, 15035 on tree, 18.787275 best solution, best possible 0 (619.01 seconds)
Cbc0010I After 233244 nodes, 15072 on tree, 18.787275 best solution, best possible 0 (619.72 seconds)
Cbc0010I After 233500 nodes, 15115 on tree, 18.787275 best solution, best possible 0 (620.42 seconds)
Cbc0010I After 233775 nodes, 15211 on tree, 18.787275 best solution, best possible 0 (621.12 seconds)
Cbc0010I After 234067 nodes, 15343 on tree, 18.787275 best solution, best possible 0 (621.82 seconds)
Cbc0010I After 234648 nodes, 15368 on tree, 18.787275 best solution, best possible 0 (622.52 seconds)
Cbc0010I After 235256 nodes, 15407 on tree, 18.787275 best solution, best possible 0 (623.22 seconds)
Cbc0010I After 235860 nodes, 15444 on tree, 18.787275 best solution, best possible 0 (623.93 seconds)
Cbc0010I After 236406 nodes, 15413 on tree, 18.787275 best solution, best possible 0 (624.63 seconds)
Cbc0010I After 236841 nodes, 15391 on tree, 18.787275 best solution, best possible 0 (625.33 seconds)
Cbc0010I After 237192 nodes, 15386 on tree, 18.787275 best solution, best possible 0 (626.04 seconds)
Cbc0010I After 237422 nodes, 15414 on tree, 18.787275 best solution, best possible 0 (626.74 seconds)
Cbc0010I After 237707 nodes, 15541 on tree, 18.787275 best solution, best possible 0 (627.44 seconds)
Cbc0010I After 238050 nodes, 15663 on tree, 18.787275 best solution, best possible 0 (628.14 seconds)
Cbc0010I After 238653 nodes, 15691 on tree, 18.787275 best solution, best possible 0 (628.84 seconds)
Cbc0010I After 239128 nodes, 15684 on tree, 18.787275 best solution, best possible 0 (629.55 seconds)
Cbc0010I After 239639 nodes, 15724 on tree, 18.787275 best solution, best possible 0 (630.25 seconds)
Cbc0010I After 239962 nodes, 15723 on tree, 18.787275 best solution, best possible 0 (630.95 seconds)
Cbc0010I After 240266 nodes, 15704 on tree, 18.787275 best solution, best possible 0 (631.66 seconds)
Cbc0010I After 240530 nodes, 15724 on tree, 18.787275 best solution, best possible 0 (632.37 seconds)
Cbc0010I After 240781 nodes, 15712 on tree, 18.787275 best solution, best possible 0 (633.08 seconds)
Cbc0010I After 241041 nodes, 15743 on tree, 18.787275 best solution, best possible 0 (633.78 seconds)
Cbc0010I After 241205 nodes, 15800 on tree, 18.787275 best solution, best possible 0 (634.49 seconds)
Cbc0010I After 241368 nodes, 15848 on tree, 18.787275 best solution, best possible 0 (635.20 seconds)
Cbc0010I After 241461 nodes, 15887 on tree, 18.787275 best solution, best possible 0 (635.91 seconds)
Cbc0010I After 241566 nodes, 15913 on tree, 18.787275 best solution, best possible 0 (636.61 seconds)
Cbc0010I After 241775 nodes, 15980 on tree, 18.787275 best solution, best possible 0 (637.31 seconds)
Cbc0010I After 241955 nodes, 16059 on tree, 18.787275 best solution, best possible 0 (638.02 seconds)
Cbc0010I After 242174 nodes, 16113 on tree, 18.787275 best solution, best possible 0 (638.72 seconds)
Cbc0010I After 242400 nodes, 16199 on tree, 18.787275 best solution, best possible 0 (639.43 seconds)
Cbc0010I After 242522 nodes, 16222 on tree, 18.787275 best solution, best possible 0 (640.14 seconds)
Cbc0010I After 242705 nodes, 16227 on tree, 18.787275 best solution, best possible 0 (640.85 seconds)
Cbc0010I After 242853 nodes, 16238 on tree, 18.787275 best solution, best possible 0 (641.55 seconds)
Cbc0010I After 243082 nodes, 16256 on tree, 18.787275 best solution, best possible 0 (642.26 seconds)
Cbc0010I After 243292 nodes, 16249 on tree, 18.787275 best solution, best possible 0 (642.96 seconds)
Cbc0010I After 243577 nodes, 16253 on tree, 18.787275 best solution, best possible 0 (643.66 seconds)
Cbc0010I After 243784 nodes, 16284 on tree, 18.787275 best solution, best possible 0 (644.37 seconds)
Cbc0010I After 243963 nodes, 16314 on tree, 18.787275 best solution, best possible 0 (645.08 seconds)
Cbc0010I After 244327 nodes, 16295 on tree, 18.787275 best solution, best possible 0 (645.79 seconds)
Cbc0010I After 244651 nodes, 16285 on tree, 18.787275 best solution, best possible 0 (646.49 seconds)
Cbc0010I After 244923 nodes, 16257 on tree, 18.787275 best solution, best possible 0 (647.20 seconds)
Cbc0010I After 245109 nodes, 16266 on tree, 18.787275 best solution, best possible 0 (647.90 seconds)
Cbc0010I After 245206 nodes, 16298 on tree, 18.787275 best solution, best possible 0 (648.60 seconds)
Cbc0010I After 245363 nodes, 16353 on tree, 18.787275 best solution, best possible 0 (649.31 seconds)
Cbc0010I After 245490 nodes, 16421 on tree, 18.787275 best solution, best possible 0 (650.02 seconds)
Cbc0010I After 245655 nodes, 16442 on tree, 18.787275 best solution, best possible 0 (650.73 seconds)
Cbc0010I After 245803 nodes, 16478 on tree, 18.787275 best solution, best possible 0 (651.44 seconds)
Cbc0010I After 245922 nodes, 16523 on tree, 18.787275 best solution, best possible 0 (652.14 seconds)
Cbc0010I After 246096 nodes, 16571 on tree, 18.787275 best solution, best possible 0 (652.86 seconds)
Cbc0010I After 246342 nodes, 16607 on tree, 18.787275 best solution, best possible 0 (653.56 seconds)
Cbc0010I After 246640 nodes, 16598 on tree, 18.787275 best solution, best possible 0 (654.26 seconds)
Cbc0010I After 246887 nodes, 16628 on tree, 18.787275 best solution, best possible 0 (654.97 seconds)
Cbc0010I After 247107 nodes, 16663 on tree, 18.787275 best solution, best possible 0 (655.67 seconds)
Cbc0010I After 247338 nodes, 16698 on tree, 18.787275 best solution, best possible 0 (656.37 seconds)
Cbc0010I After 247561 nodes, 16739 on tree, 18.787275 best solution, best possible 0 (657.07 seconds)
Cbc0010I After 247747 nodes, 16800 on tree, 18.787275 best solution, best possible 0 (657.78 seconds)
Cbc0010I After 247946 nodes, 16875 on tree, 18.787275 best solution, best possible 0 (658.48 seconds)
Cbc0010I After 248328 nodes, 16844 on tree, 18.787275 best solution, best possible 0 (659.18 seconds)
Cbc0010I After 248728 nodes, 16803 on tree, 18.787275 best solution, best possible 0 (659.89 seconds)
Cbc0010I After 249037 nodes, 16823 on tree, 18.787275 best solution, best possible 0 (660.59 seconds)
Cbc0010I After 249177 nodes, 16870 on tree, 18.787275 best solution, best possible 0 (661.30 seconds)
Cbc0010I After 249329 nodes, 16884 on tree, 18.787275 best solution, best possible 0 (662.00 seconds)
Cbc0010I After 249467 nodes, 16905 on tree, 18.787275 best solution, best possible 0 (662.71 seconds)
Cbc0010I After 249579 nodes, 16963 on tree, 18.787275 best solution, best possible 0 (663.42 seconds)
Cbc0010I After 249696 nodes, 17010 on tree, 18.787275 best solution, best possible 0 (664.12 seconds)
Cbc0010I After 249824 nodes, 17054 on tree, 18.787275 best solution, best possible 0 (664.83 seconds)
Cbc0010I After 249981 nodes, 17071 on tree, 18.787275 best solution, best possible 0 (665.54 seconds)
Cbc0010I After 250174 nodes, 17105 on tree, 18.787275 best solution, best possible 0 (666.25 seconds)
Cbc0010I After 250426 nodes, 17160 on tree, 18.787275 best solution, best possible 0 (666.95 seconds)
Cbc0010I After 250820 nodes, 17187 on tree, 18.787275 best solution, best possible 0 (667.65 seconds)
Cbc0010I After 251055 nodes, 17237 on tree, 18.787275 best solution, best possible 0 (668.36 seconds)
Cbc0010I After 251212 nodes, 17264 on tree, 18.787275 best solution, best possible 0 (669.07 seconds)
Cbc0010I After 251415 nodes, 17301 on tree, 18.787275 best solution, best possible 0 (669.77 seconds)
Cbc0010I After 251788 nodes, 17332 on tree, 18.787275 best solution, best possible 0 (670.47 seconds)
Cbc0010I After 252178 nodes, 17325 on tree, 18.787275 best solution, best possible 0 (671.17 seconds)
Cbc0010I After 252621 nodes, 17334 on tree, 18.787275 best solution, best possible 0 (671.88 seconds)
Cbc0010I After 253008 nodes, 17333 on tree, 18.787275 best solution, best possible 0 (672.58 seconds)
Cbc0010I After 253176 nodes, 17365 on tree, 18.787275 best solution, best possible 0 (673.30 seconds)
Cbc0010I After 253359 nodes, 17390 on tree, 18.787275 best solution, best possible 0 (674.01 seconds)
Cbc0010I After 253503 nodes, 17454 on tree, 18.787275 best solution, best possible 0 (674.71 seconds)
Cbc0010I After 253690 nodes, 17529 on tree, 18.787275 best solution, best possible 0 (675.42 seconds)
Cbc0010I After 253828 nodes, 17584 on tree, 18.787275 best solution, best possible 0 (676.13 seconds)
Cbc0010I After 253960 nodes, 17608 on tree, 18.787275 best solution, best possible 0 (676.83 seconds)
Cbc0010I After 254286 nodes, 17643 on tree, 18.787275 best solution, best possible 0 (677.54 seconds)
Cbc0010I After 254708 nodes, 17676 on tree, 18.787275 best solution, best possible 0 (678.24 seconds)
Cbc0010I After 255050 nodes, 17688 on tree, 18.787275 best solution, best possible 0 (678.94 seconds)
Cbc0010I After 255368 nodes, 17677 on tree, 18.787275 best solution, best possible 0 (679.64 seconds)
Cbc0010I After 255713 nodes, 17691 on tree, 18.787275 best solution, best possible 0 (680.35 seconds)
Cbc0010I After 256051 nodes, 17688 on tree, 18.787275 best solution, best possible 0 (681.05 seconds)
Cbc0010I After 256399 nodes, 17688 on tree, 18.787275 best solution, best possible 0 (681.75 seconds)
Cbc0010I After 256716 nodes, 17664 on tree, 18.787275 best solution, best possible 0 (682.45 seconds)
Cbc0010I After 256947 nodes, 17658 on tree, 18.787275 best solution, best possible 0 (683.16 seconds)
Cbc0010I After 257119 nodes, 17676 on tree, 18.787275 best solution, best possible 0 (683.87 seconds)
Cbc0010I After 257227 nodes, 17692 on tree, 18.787275 best solution, best possible 0 (684.57 seconds)
Cbc0010I After 257355 nodes, 17714 on tree, 18.787275 best solution, best possible 0 (685.28 seconds)
Cbc0010I After 257504 nodes, 17758 on tree, 18.787275 best solution, best possible 0 (685.98 seconds)
Cbc0010I After 257613 nodes, 17792 on tree, 18.787275 best solution, best possible 0 (686.72 seconds)
Cbc0010I After 257724 nodes, 17837 on tree, 18.787275 best solution, best possible 0 (687.43 seconds)
Cbc0010I After 257844 nodes, 17870 on tree, 18.787275 best solution, best possible 0 (688.14 seconds)
Cbc0010I After 257948 nodes, 17923 on tree, 18.787275 best solution, best possible 0 (688.85 seconds)
Cbc0010I After 258269 nodes, 17968 on tree, 18.787275 best solution, best possible 0 (689.56 seconds)
Cbc0010I After 258507 nodes, 18005 on tree, 18.787275 best solution, best possible 0 (690.26 seconds)
Cbc0010I After 258991 nodes, 18023 on tree, 18.787275 best solution, best possible 0 (690.96 seconds)
Cbc0010I After 259530 nodes, 18018 on tree, 18.787275 best solution, best possible 0 (691.66 seconds)
Cbc0010I After 260046 nodes, 18035 on tree, 18.787275 best solution, best possible 0 (692.37 seconds)
Cbc0010I After 260648 nodes, 18068 on tree, 18.787275 best solution, best possible 0 (693.07 seconds)
Cbc0010I After 261043 nodes, 18069 on tree, 18.787275 best solution, best possible 0 (693.77 seconds)
Cbc0010I After 261236 nodes, 18139 on tree, 18.787275 best solution, best possible 0 (694.48 seconds)
Cbc0010I After 261455 nodes, 18172 on tree, 18.787275 best solution, best possible 0 (695.18 seconds)
Cbc0010I After 261690 nodes, 18198 on tree, 18.787275 best solution, best possible 0 (695.88 seconds)
Cbc0010I After 261899 nodes, 18251 on tree, 18.787275 best solution, best possible 0 (696.60 seconds)
Cbc0010I After 262164 nodes, 18262 on tree, 18.787275 best solution, best possible 0 (697.33 seconds)
Cbc0010I After 262448 nodes, 18274 on tree, 18.787275 best solution, best possible 0 (698.03 seconds)
Cbc0010I After 262790 nodes, 18261 on tree, 18.787275 best solution, best possible 0 (698.73 seconds)
Cbc0010I After 263052 nodes, 18272 on tree, 18.787275 best solution, best possible 0 (699.44 seconds)
Cbc0010I After 263600 nodes, 18294 on tree, 18.787275 best solution, best possible 0 (700.14 seconds)
Cbc0010I After 264267 nodes, 18317 on tree, 18.787275 best solution, best possible 0 (700.84 seconds)
Cbc0010I After 264835 nodes, 18309 on tree, 18.787275 best solution, best possible 0 (701.54 seconds)
Cbc0010I After 265102 nodes, 18323 on tree, 18.787275 best solution, best possible 0 (702.25 seconds)
Cbc0010I After 265199 nodes, 18356 on tree, 18.787275 best solution, best possible 0 (702.96 seconds)
Cbc0010I After 265282 nodes, 18397 on tree, 18.787275 best solution, best possible 0 (703.66 seconds)
Cbc0010I After 265375 nodes, 18441 on tree, 18.787275 best solution, best possible 0 (704.37 seconds)
Cbc0010I After 265486 nodes, 18502 on tree, 18.787275 best solution, best possible 0 (705.07 seconds)
Cbc0010I After 265599 nodes, 18542 on tree, 18.787275 best solution, best possible 0 (705.78 seconds)
Cbc0010I After 265687 nodes, 18537 on tree, 18.787275 best solution, best possible 0 (706.48 seconds)
Cbc0010I After 265806 nodes, 18528 on tree, 18.787275 best solution, best possible 0 (707.20 seconds)
Cbc0010I After 265894 nodes, 18537 on tree, 18.787275 best solution, best possible 0 (707.91 seconds)
Cbc0010I After 266094 nodes, 18571 on tree, 18.787275 best solution, best possible 0 (708.62 seconds)
Cbc0010I After 266435 nodes, 18557 on tree, 18.787275 best solution, best possible 0 (709.32 seconds)
Cbc0010I After 266688 nodes, 18533 on tree, 18.787275 best solution, best possible 0 (710.03 seconds)
Cbc0010I After 267032 nodes, 18555 on tree, 18.787275 best solution, best possible 0 (710.73 seconds)
Cbc0010I After 267404 nodes, 18583 on tree, 18.787275 best solution, best possible 0 (711.43 seconds)
Cbc0010I After 267761 nodes, 18584 on tree, 18.787275 best solution, best possible 0 (712.14 seconds)
Cbc0010I After 268148 nodes, 18557 on tree, 18.787275 best solution, best possible 0 (712.84 seconds)
Cbc0010I After 268461 nodes, 18516 on tree, 18.787275 best solution, best possible 0 (713.54 seconds)
Cbc0010I After 268703 nodes, 18515 on tree, 18.787275 best solution, best possible 0 (714.24 seconds)
Cbc0010I After 269022 nodes, 18556 on tree, 18.787275 best solution, best possible 0 (714.95 seconds)
Cbc0010I After 269109 nodes, 18605 on tree, 18.787275 best solution, best possible 0 (715.66 seconds)
Cbc0010I After 269233 nodes, 18669 on tree, 18.787275 best solution, best possible 0 (716.36 seconds)
Cbc0010I After 269370 nodes, 18748 on tree, 18.787275 best solution, best possible 0 (717.07 seconds)
Cbc0010I After 269516 nodes, 18739 on tree, 18.787275 best solution, best possible 0 (717.78 seconds)
Cbc0010I After 269691 nodes, 18771 on tree, 18.787275 best solution, best possible 0 (718.48 seconds)
Cbc0010I After 269846 nodes, 18822 on tree, 18.787275 best solution, best possible 0 (719.19 seconds)
Cbc0010I After 269983 nodes, 18845 on tree, 18.787275 best solution, best possible 0 (719.89 seconds)
Cbc0010I After 270257 nodes, 18864 on tree, 18.787275 best solution, best possible 0 (720.59 seconds)
Cbc0010I After 270618 nodes, 18845 on tree, 18.787275 best solution, best possible 0 (721.30 seconds)
Cbc0010I After 271004 nodes, 18834 on tree, 18.787275 best solution, best possible 0 (722.00 seconds)
Cbc0010I After 271400 nodes, 18843 on tree, 18.787275 best solution, best possible 0 (722.71 seconds)
Cbc0010I After 271794 nodes, 18873 on tree, 18.787275 best solution, best possible 0 (723.41 seconds)
Cbc0010I After 272091 nodes, 18872 on tree, 18.787275 best solution, best possible 0 (724.11 seconds)
Cbc0010I After 272510 nodes, 18852 on tree, 18.787275 best solution, best possible 0 (724.81 seconds)
Cbc0010I After 272946 nodes, 18847 on tree, 18.787275 best solution, best possible 0 (725.52 seconds)
Cbc0010I After 273137 nodes, 18893 on tree, 18.787275 best solution, best possible 0 (726.22 seconds)
Cbc0010I After 273342 nodes, 18917 on tree, 18.787275 best solution, best possible 0 (726.93 seconds)
Cbc0010I After 273555 nodes, 18947 on tree, 18.787275 best solution, best possible 0 (727.63 seconds)
Cbc0010I After 273771 nodes, 18956 on tree, 18.787275 best solution, best possible 0 (728.34 seconds)
Cbc0010I After 273992 nodes, 18957 on tree, 18.787275 best solution, best possible 0 (729.04 seconds)
Cbc0010I After 274491 nodes, 18937 on tree, 18.787275 best solution, best possible 0 (729.76 seconds)
Cbc0010I After 274954 nodes, 18951 on tree, 18.787275 best solution, best possible 0 (730.46 seconds)
Cbc0010I After 275504 nodes, 18987 on tree, 18.787275 best solution, best possible 0 (731.16 seconds)
Cbc0010I After 276043 nodes, 18942 on tree, 18.787275 best solution, best possible 0 (731.86 seconds)
Cbc0010I After 276453 nodes, 18923 on tree, 18.787275 best solution, best possible 0 (732.56 seconds)
Cbc0010I After 276760 nodes, 18921 on tree, 18.787275 best solution, best possible 0 (733.27 seconds)
Cbc0010I After 277028 nodes, 18931 on tree, 18.787275 best solution, best possible 0 (733.98 seconds)
Cbc0010I After 277168 nodes, 18933 on tree, 18.787275 best solution, best possible 0 (734.68 seconds)
Cbc0010I After 277291 nodes, 18974 on tree, 18.787275 best solution, best possible 0 (735.39 seconds)
Cbc0010I After 277500 nodes, 19022 on tree, 18.787275 best solution, best possible 0 (736.09 seconds)
Cbc0010I After 277716 nodes, 19064 on tree, 18.787275 best solution, best possible 0 (736.79 seconds)
Cbc0010I After 277950 nodes, 19108 on tree, 18.787275 best solution, best possible 0 (737.51 seconds)
Cbc0010I After 278107 nodes, 19134 on tree, 18.787275 best solution, best possible 0 (738.21 seconds)
Cbc0010I After 278555 nodes, 19138 on tree, 18.787275 best solution, best possible 0 (738.91 seconds)
Cbc0010I After 278955 nodes, 19153 on tree, 18.787275 best solution, best possible 0 (739.62 seconds)
Cbc0010I After 279354 nodes, 19142 on tree, 18.787275 best solution, best possible 0 (740.32 seconds)
Cbc0010I After 279748 nodes, 19165 on tree, 18.787275 best solution, best possible 0 (741.02 seconds)
Cbc0010I After 280022 nodes, 19193 on tree, 18.787275 best solution, best possible 0 (741.73 seconds)
Cbc0010I After 280343 nodes, 19163 on tree, 18.787275 best solution, best possible 0 (742.43 seconds)
Cbc0010I After 280713 nodes, 19140 on tree, 18.787275 best solution, best possible 0 (743.13 seconds)
Cbc0010I After 281051 nodes, 19154 on tree, 18.787275 best solution, best possible 0 (743.84 seconds)
Cbc0010I After 281257 nodes, 19197 on tree, 18.787275 best solution, best possible 0 (744.54 seconds)
Cbc0010I After 281458 nodes, 19222 on tree, 18.787275 best solution, best possible 0 (745.24 seconds)
Cbc0010I After 281607 nodes, 19243 on tree, 18.787275 best solution, best possible 0 (745.95 seconds)
Cbc0010I After 281727 nodes, 19287 on tree, 18.787275 best solution, best possible 0 (746.66 seconds)
Cbc0010I After 281857 nodes, 19365 on tree, 18.787275 best solution, best possible 0 (747.37 seconds)
Cbc0010I After 282000 nodes, 19433 on tree, 18.787275 best solution, best possible 0 (748.07 seconds)
Cbc0010I After 282358 nodes, 19447 on tree, 18.787275 best solution, best possible 0 (748.78 seconds)
Cbc0010I After 282685 nodes, 19433 on tree, 18.787275 best solution, best possible 0 (749.48 seconds)
Cbc0010I After 283037 nodes, 19412 on tree, 18.787275 best solution, best possible 0 (750.19 seconds)
Cbc0010I After 283343 nodes, 19420 on tree, 18.787275 best solution, best possible 0 (750.91 seconds)
Cbc0010I After 283646 nodes, 19429 on tree, 18.787275 best solution, best possible 0 (751.61 seconds)
Cbc0010I After 284019 nodes, 19411 on tree, 18.787275 best solution, best possible 0 (752.31 seconds)
Cbc0010I After 284369 nodes, 19415 on tree, 18.787275 best solution, best possible 0 (753.03 seconds)
Cbc0010I After 284836 nodes, 19423 on tree, 18.787275 best solution, best possible 0 (753.73 seconds)
Cbc0010I After 285110 nodes, 19428 on tree, 18.787275 best solution, best possible 0 (754.44 seconds)
Cbc0010I After 285268 nodes, 19461 on tree, 18.787275 best solution, best possible 0 (755.14 seconds)
Cbc0010I After 285411 nodes, 19496 on tree, 18.787275 best solution, best possible 0 (755.84 seconds)
Cbc0010I After 285536 nodes, 19521 on tree, 18.787275 best solution, best possible 0 (756.57 seconds)
Cbc0010I After 285639 nodes, 19557 on tree, 18.787275 best solution, best possible 0 (757.29 seconds)
Cbc0010I After 285845 nodes, 19629 on tree, 18.787275 best solution, best possible 0 (757.99 seconds)
Cbc0010I After 286249 nodes, 19716 on tree, 18.787275 best solution, best possible 0 (758.70 seconds)
Cbc0010I After 286869 nodes, 19757 on tree, 18.787275 best solution, best possible 0 (759.40 seconds)
Cbc0010I After 287541 nodes, 19753 on tree, 18.787275 best solution, best possible 0 (760.10 seconds)
Cbc0010I After 288117 nodes, 19736 on tree, 18.787275 best solution, best possible 0 (760.80 seconds)
Cbc0010I After 288560 nodes, 19735 on tree, 18.787275 best solution, best possible 0 (761.51 seconds)
