Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/liu.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/liu.txt -quit (default strategy 1)
At line 1 NAME           liu
At line 2 ROWS
At line 2182 COLUMNS
At line 7600 RHS
At line 8690 BOUNDS
At line 9780 ENDATA
Problem liu has 2178 rows, 1156 columns and 10626 elements
Coin0008I liu read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 346 - 0.13959 seconds
Cgl0004I processed model has 2178 rows, 1154 columns (1087 integer (1087 of which binary)) and 10626 elements
Coin3009W Conflict graph built in 0.001 seconds, density: 0.041%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 371 integers unsatisfied sum - 6.88631
Cbc0038I Pass   1: suminf.    0.00000 (0) obj. 4720 iterations 421
Cbc0038I Solution found of 4720
Cbc0038I Relaxing continuous gives 4720
Cbc0038I Before mini branch and bound, 716 integers at bound fixed and 34 continuous
Cbc0038I Full problem 2178 rows 1154 columns, reduced to 666 rows 203 columns
Cbc0038I Mini branch and bound improved solution from 4720 to 4292 (1.86 seconds)
Cbc0038I Freeing continuous variables gives a solution of 4292
Cbc0038I Round again with cutoff of 3897.4
Cbc0038I Pass   2: suminf.    0.09795 (8) obj. 3897.4 iterations 9
Cbc0038I Pass   3: suminf.    0.02746 (3) obj. 3897.4 iterations 24
Cbc0038I Pass   4: suminf.    0.00412 (2) obj. 3897.4 iterations 9
Cbc0038I Pass   5: suminf.    0.01007 (2) obj. 3897.4 iterations 2
Cbc0038I Pass   6: suminf.    5.65254 (226) obj. 3897.4 iterations 642
Cbc0038I Pass   7: suminf.    4.72565 (202) obj. 3897.4 iterations 83
Cbc0038I Pass   8: suminf.    4.28459 (186) obj. 3897.4 iterations 90
Cbc0038I Pass   9: suminf.    3.24101 (155) obj. 3897.4 iterations 93
Cbc0038I Pass  10: suminf.    2.78709 (125) obj. 3897.4 iterations 121
Cbc0038I Pass  11: suminf.    2.09216 (78) obj. 3897.4 iterations 132
Cbc0038I Pass  12: suminf.    1.85163 (66) obj. 3897.4 iterations 65
Cbc0038I Pass  13: suminf.    1.74708 (65) obj. 3897.4 iterations 120
Cbc0038I Pass  14: suminf.    1.70683 (41) obj. 3897.4 iterations 95
Cbc0038I Pass  15: suminf.    1.78042 (57) obj. 3897.4 iterations 98
Cbc0038I Pass  16: suminf.    1.16933 (32) obj. 3897.4 iterations 98
Cbc0038I Pass  17: suminf.    1.65492 (58) obj. 3897.4 iterations 82
Cbc0038I Pass  18: suminf.    1.13813 (25) obj. 3897.4 iterations 95
Cbc0038I Pass  19: suminf.    1.39819 (44) obj. 3897.4 iterations 79
Cbc0038I Pass  20: suminf.    1.11979 (28) obj. 3897.4 iterations 79
Cbc0038I Pass  21: suminf.    0.97023 (32) obj. 3897.4 iterations 70
Cbc0038I Pass  22: suminf.    1.01095 (25) obj. 3897.4 iterations 62
Cbc0038I Pass  23: suminf.    1.03477 (27) obj. 3897.4 iterations 47
Cbc0038I Pass  24: suminf.    0.86068 (19) obj. 3897.4 iterations 53
Cbc0038I Pass  25: suminf.    0.68373 (21) obj. 3897.4 iterations 46
Cbc0038I Pass  26: suminf.    1.02953 (25) obj. 3897.4 iterations 60
Cbc0038I Pass  27: suminf.    0.72493 (17) obj. 3897.4 iterations 47
Cbc0038I Pass  28: suminf.    0.74137 (14) obj. 3897.4 iterations 36
Cbc0038I Pass  29: suminf.    0.62181 (11) obj. 3897.4 iterations 34
Cbc0038I Pass  30: suminf.    0.71469 (14) obj. 3897.4 iterations 29
Cbc0038I Pass  31: suminf.    0.61396 (15) obj. 3897.4 iterations 37
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 445 integers at bound fixed and 0 continuous
Cbc0038I Full problem 2178 rows 1154 columns, reduced to 2178 rows 709 columns - 6 fixed gives 2178, 703 - still too large
Cbc0038I Mini branch and bound did not improve solution (2.52 seconds)
Cbc0038I After 2.52 seconds - Feasibility pump exiting with objective of 4292 - took 1.31 seconds
Cbc0012I Integer solution of 4292 found by feasibility pump after 0 iterations and 0 nodes (2.53 seconds)
Cbc0038I Full problem 2178 rows 1154 columns, reduced to 2178 rows 438 columns - 5 fixed gives 2178, 433 - still too large
Cbc0031I 311 added rows had average density of 5.8938907
Cbc0013I At root node, 311 cuts changed objective from 346 to 560 in 10 passes
Cbc0014I Cut generator 0 (Probing) - 445 row cuts average 5.1 elements, 0 column cuts (231 active)  in 0.049 seconds - new frequency is 1
Cbc0014I Cut generator 1 (Gomory) - 437 row cuts average 8.0 elements, 0 column cuts (0 active)  in 0.384 seconds - new frequency is 1
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.021 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.043 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.000 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.000 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 793 row cuts average 3.5 elements, 0 column cuts (0 active)  in 0.124 seconds - new frequency is 1
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.055 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 626 row cuts average 5.2 elements, 0 column cuts (0 active)  in 0.433 seconds - new frequency is 1
Cbc0010I After 0 nodes, 1 on tree, 4292 best solution, best possible 560 (6.20 seconds)
Cbc0010I After 47384 nodes, 17413 on tree, 1608 best solution, best possible 560 (3339.84 seconds)
Cbc0010I After 47396 nodes, 17419 on tree, 1608 best solution, best possible 560 (3340.55 seconds)
Cbc0010I After 47414 nodes, 17428 on tree, 1608 best solution, best possible 560 (3341.25 seconds)
Cbc0010I After 47428 nodes, 17435 on tree, 1608 best solution, best possible 560 (3341.99 seconds)
Cbc0010I After 47444 nodes, 17443 on tree, 1608 best solution, best possible 560 (3342.69 seconds)
Cbc0010I After 47456 nodes, 17449 on tree, 1608 best solution, best possible 560 (3343.40 seconds)
Cbc0010I After 47468 nodes, 17456 on tree, 1608 best solution, best possible 560 (3344.13 seconds)
Cbc0010I After 47480 nodes, 17463 on tree, 1608 best solution, best possible 560 (3344.86 seconds)
Cbc0010I After 47493 nodes, 17470 on tree, 1608 best solution, best possible 560 (3345.57 seconds)
Cbc0010I After 47506 nodes, 17476 on tree, 1608 best solution, best possible 560 (3346.32 seconds)
Cbc0010I After 47520 nodes, 17484 on tree, 1608 best solution, best possible 560 (3347.03 seconds)
Cbc0010I After 47534 nodes, 17490 on tree, 1608 best solution, best possible 560 (3347.75 seconds)
Cbc0010I After 47547 nodes, 17497 on tree, 1608 best solution, best possible 560 (3348.48 seconds)
Cbc0010I After 47560 nodes, 17502 on tree, 1608 best solution, best possible 560 (3349.20 seconds)
Cbc0010I After 47574 nodes, 17511 on tree, 1608 best solution, best possible 560 (3349.91 seconds)
Cbc0010I After 47587 nodes, 17517 on tree, 1608 best solution, best possible 560 (3350.63 seconds)
Cbc0010I After 47603 nodes, 17525 on tree, 1608 best solution, best possible 560 (3351.39 seconds)
Cbc0010I After 47618 nodes, 17532 on tree, 1608 best solution, best possible 560 (3352.15 seconds)
Cbc0010I After 47630 nodes, 17540 on tree, 1608 best solution, best possible 560 (3352.95 seconds)
Cbc0010I After 47644 nodes, 17546 on tree, 1608 best solution, best possible 560 (3353.65 seconds)
Cbc0010I After 47656 nodes, 17553 on tree, 1608 best solution, best possible 560 (3354.37 seconds)
Cbc0010I After 47668 nodes, 17557 on tree, 1608 best solution, best possible 560 (3355.11 seconds)
Cbc0010I After 47679 nodes, 17561 on tree, 1608 best solution, best possible 560 (3355.83 seconds)
Cbc0010I After 47693 nodes, 17569 on tree, 1608 best solution, best possible 560 (3356.59 seconds)
Cbc0010I After 47704 nodes, 17573 on tree, 1608 best solution, best possible 560 (3357.31 seconds)
Cbc0010I After 47717 nodes, 17579 on tree, 1608 best solution, best possible 560 (3358.05 seconds)
Cbc0010I After 47729 nodes, 17585 on tree, 1608 best solution, best possible 560 (3358.75 seconds)
Cbc0010I After 47742 nodes, 17592 on tree, 1608 best solution, best possible 560 (3359.51 seconds)
Cbc0010I After 47755 nodes, 17597 on tree, 1608 best solution, best possible 560 (3360.37 seconds)
Cbc0010I After 47767 nodes, 17605 on tree, 1608 best solution, best possible 560 (3361.08 seconds)
Cbc0010I After 47779 nodes, 17611 on tree, 1608 best solution, best possible 560 (3361.79 seconds)
Cbc0010I After 47792 nodes, 17618 on tree, 1608 best solution, best possible 560 (3362.52 seconds)
Cbc0010I After 47805 nodes, 17624 on tree, 1608 best solution, best possible 560 (3363.25 seconds)
Cbc0010I After 47817 nodes, 17632 on tree, 1608 best solution, best possible 560 (3363.98 seconds)
Cbc0010I After 47829 nodes, 17638 on tree, 1608 best solution, best possible 560 (3364.70 seconds)
Cbc0010I After 47840 nodes, 17641 on tree, 1608 best solution, best possible 560 (3365.42 seconds)
Cbc0010I After 47853 nodes, 17647 on tree, 1608 best solution, best possible 560 (3366.16 seconds)
Cbc0010I After 47866 nodes, 17653 on tree, 1608 best solution, best possible 560 (3366.93 seconds)
Cbc0010I After 47879 nodes, 17660 on tree, 1608 best solution, best possible 560 (3367.70 seconds)
Cbc0010I After 47890 nodes, 17665 on tree, 1608 best solution, best possible 560 (3368.42 seconds)
Cbc0010I After 47898 nodes, 17669 on tree, 1608 best solution, best possible 560 (3369.15 seconds)
Cbc0010I After 47908 nodes, 17675 on tree, 1608 best solution, best possible 560 (3369.87 seconds)
Cbc0010I After 47920 nodes, 17680 on tree, 1608 best solution, best possible 560 (3370.60 seconds)
Cbc0010I After 47937 nodes, 17687 on tree, 1608 best solution, best possible 560 (3371.33 seconds)
Cbc0010I After 47954 nodes, 17696 on tree, 1608 best solution, best possible 560 (3372.05 seconds)
Cbc0010I After 47975 nodes, 17707 on tree, 1608 best solution, best possible 560 (3372.76 seconds)
Cbc0010I After 47990 nodes, 17714 on tree, 1608 best solution, best possible 560 (3373.47 seconds)
Cbc0004I Integer solution of 1590 found after 5389854 iterations and 48005 nodes (3374.07 seconds)
Cbc0010I After 48006 nodes, 17629 on tree, 1590 best solution, best possible 560 (3374.22 seconds)
Cbc0010I After 48025 nodes, 17640 on tree, 1590 best solution, best possible 560 (3374.93 seconds)
Cbc0010I After 48045 nodes, 17649 on tree, 1590 best solution, best possible 560 (3375.63 seconds)
Cbc0010I After 48067 nodes, 17660 on tree, 1590 best solution, best possible 560 (3376.34 seconds)
Cbc0010I After 48088 nodes, 17670 on tree, 1590 best solution, best possible 560 (3377.05 seconds)
Cbc0010I After 48108 nodes, 17680 on tree, 1590 best solution, best possible 560 (3377.77 seconds)
Cbc0010I After 48129 nodes, 17690 on tree, 1590 best solution, best possible 560 (3378.51 seconds)
Cbc0010I After 48150 nodes, 17700 on tree, 1590 best solution, best possible 560 (3379.22 seconds)
Cbc0010I After 48169 nodes, 17710 on tree, 1590 best solution, best possible 560 (3379.95 seconds)
Cbc0010I After 48188 nodes, 17719 on tree, 1590 best solution, best possible 560 (3380.69 seconds)
Cbc0010I After 48205 nodes, 17727 on tree, 1590 best solution, best possible 560 (3381.43 seconds)
Cbc0010I After 48221 nodes, 17735 on tree, 1590 best solution, best possible 560 (3382.15 seconds)
Cbc0010I After 48237 nodes, 17743 on tree, 1590 best solution, best possible 560 (3382.90 seconds)
Cbc0010I After 48255 nodes, 17751 on tree, 1590 best solution, best possible 560 (3383.63 seconds)
Cbc0010I After 48273 nodes, 17762 on tree, 1590 best solution, best possible 560 (3384.33 seconds)
Cbc0010I After 48293 nodes, 17771 on tree, 1590 best solution, best possible 560 (3385.05 seconds)
Cbc0010I After 48311 nodes, 17781 on tree, 1590 best solution, best possible 560 (3385.77 seconds)
Cbc0010I After 48331 nodes, 17789 on tree, 1590 best solution, best possible 560 (3386.48 seconds)
Cbc0010I After 48351 nodes, 17799 on tree, 1590 best solution, best possible 560 (3387.20 seconds)
Cbc0010I After 48370 nodes, 17812 on tree, 1590 best solution, best possible 560 (3387.94 seconds)
Cbc0010I After 48389 nodes, 17818 on tree, 1590 best solution, best possible 560 (3388.66 seconds)
Cbc0010I After 48408 nodes, 17829 on tree, 1590 best solution, best possible 560 (3389.37 seconds)
Cbc0010I After 48429 nodes, 17838 on tree, 1590 best solution, best possible 560 (3390.08 seconds)
Cbc0010I After 48449 nodes, 17848 on tree, 1590 best solution, best possible 560 (3390.79 seconds)
Cbc0010I After 48472 nodes, 17859 on tree, 1590 best solution, best possible 560 (3391.49 seconds)
Cbc0010I After 48491 nodes, 17869 on tree, 1590 best solution, best possible 560 (3392.22 seconds)
Cbc0010I After 48507 nodes, 17877 on tree, 1590 best solution, best possible 560 (3392.97 seconds)
Cbc0010I After 48521 nodes, 17884 on tree, 1590 best solution, best possible 560 (3393.69 seconds)
Cbc0010I After 48536 nodes, 17891 on tree, 1590 best solution, best possible 560 (3394.40 seconds)
Cbc0010I After 48552 nodes, 17900 on tree, 1590 best solution, best possible 560 (3395.12 seconds)
Cbc0010I After 48566 nodes, 17906 on tree, 1590 best solution, best possible 560 (3395.88 seconds)
Cbc0010I After 48580 nodes, 17914 on tree, 1590 best solution, best possible 560 (3396.63 seconds)
Cbc0010I After 48591 nodes, 17919 on tree, 1590 best solution, best possible 560 (3397.35 seconds)
Cbc0010I After 48611 nodes, 17930 on tree, 1590 best solution, best possible 560 (3398.07 seconds)
Cbc0010I After 48632 nodes, 17940 on tree, 1590 best solution, best possible 560 (3398.81 seconds)
Cbc0010I After 48650 nodes, 17949 on tree, 1590 best solution, best possible 560 (3399.53 seconds)
Cbc0010I After 48670 nodes, 17958 on tree, 1590 best solution, best possible 560 (3400.25 seconds)
Cbc0010I After 48691 nodes, 17969 on tree, 1590 best solution, best possible 560 (3401.00 seconds)
Cbc0010I After 48703 nodes, 17975 on tree, 1590 best solution, best possible 560 (3401.81 seconds)
Cbc0010I After 48714 nodes, 17981 on tree, 1590 best solution, best possible 560 (3402.55 seconds)
Cbc0010I After 48726 nodes, 17986 on tree, 1590 best solution, best possible 560 (3403.28 seconds)
Cbc0010I After 48738 nodes, 17994 on tree, 1590 best solution, best possible 560 (3404.08 seconds)
Cbc0010I After 48749 nodes, 17998 on tree, 1590 best solution, best possible 560 (3404.79 seconds)
Cbc0010I After 48763 nodes, 18005 on tree, 1590 best solution, best possible 560 (3405.56 seconds)
Cbc0010I After 48775 nodes, 18012 on tree, 1590 best solution, best possible 560 (3406.27 seconds)
Cbc0010I After 48788 nodes, 18018 on tree, 1590 best solution, best possible 560 (3407.00 seconds)
Cbc0010I After 48798 nodes, 18023 on tree, 1590 best solution, best possible 560 (3407.73 seconds)
Cbc0010I After 48811 nodes, 18029 on tree, 1590 best solution, best possible 560 (3408.44 seconds)
Cbc0010I After 48822 nodes, 18036 on tree, 1590 best solution, best possible 560 (3409.16 seconds)
Cbc0010I After 48831 nodes, 18040 on tree, 1590 best solution, best possible 560 (3409.90 seconds)
Cbc0010I After 48842 nodes, 18044 on tree, 1590 best solution, best possible 560 (3410.63 seconds)
Cbc0010I After 48854 nodes, 18051 on tree, 1590 best solution, best possible 560 (3411.35 seconds)
Cbc0010I After 48864 nodes, 18057 on tree, 1590 best solution, best possible 560 (3412.06 seconds)
Cbc0010I After 48875 nodes, 18063 on tree, 1590 best solution, best possible 560 (3412.79 seconds)
Cbc0010I After 48885 nodes, 18067 on tree, 1590 best solution, best possible 560 (3413.56 seconds)
Cbc0010I After 48897 nodes, 18074 on tree, 1590 best solution, best possible 560 (3414.32 seconds)
Cbc0010I After 48909 nodes, 18079 on tree, 1590 best solution, best possible 560 (3415.04 seconds)
Cbc0010I After 48923 nodes, 18086 on tree, 1590 best solution, best possible 560 (3415.81 seconds)
Cbc0010I After 48936 nodes, 18092 on tree, 1590 best solution, best possible 560 (3416.56 seconds)
Cbc0010I After 48947 nodes, 18097 on tree, 1590 best solution, best possible 560 (3417.29 seconds)
Cbc0010I After 48961 nodes, 18104 on tree, 1590 best solution, best possible 560 (3418.04 seconds)
Cbc0010I After 48975 nodes, 18111 on tree, 1590 best solution, best possible 560 (3418.80 seconds)
Cbc0010I After 48985 nodes, 18116 on tree, 1590 best solution, best possible 560 (3419.53 seconds)
Cbc0010I After 48997 nodes, 18122 on tree, 1590 best solution, best possible 560 (3420.28 seconds)
Cbc0010I After 49002 nodes, 18123 on tree, 1590 best solution, best possible 560 (3421.16 seconds)
Cbc0010I After 49005 nodes, 18126 on tree, 1590 best solution, best possible 560 (3421.92 seconds)
Cbc0010I After 49008 nodes, 18129 on tree, 1590 best solution, best possible 560 (3422.66 seconds)
Cbc0010I After 49013 nodes, 18134 on tree, 1590 best solution, best possible 560 (3423.39 seconds)
Cbc0010I After 49022 nodes, 18143 on tree, 1590 best solution, best possible 560 (3424.11 seconds)
Cbc0010I After 49033 nodes, 18154 on tree, 1590 best solution, best possible 560 (3424.98 seconds)
Cbc0010I After 49045 nodes, 18166 on tree, 1590 best solution, best possible 560 (3425.71 seconds)
Cbc0010I After 49058 nodes, 18179 on tree, 1590 best solution, best possible 560 (3426.42 seconds)
Cbc0010I After 49069 nodes, 18190 on tree, 1590 best solution, best possible 560 (3427.13 seconds)
Cbc0010I After 49088 nodes, 18209 on tree, 1590 best solution, best possible 560 (3427.86 seconds)
Cbc0010I After 49103 nodes, 18224 on tree, 1590 best solution, best possible 560 (3428.59 seconds)
Cbc0010I After 49117 nodes, 18238 on tree, 1590 best solution, best possible 560 (3429.31 seconds)
Cbc0010I After 49134 nodes, 18255 on tree, 1590 best solution, best possible 560 (3430.06 seconds)
Cbc0010I After 49158 nodes, 18271 on tree, 1590 best solution, best possible 560 (3430.79 seconds)
Cbc0010I After 49179 nodes, 18285 on tree, 1590 best solution, best possible 560 (3431.52 seconds)
Cbc0010I After 49203 nodes, 18292 on tree, 1590 best solution, best possible 560 (3432.26 seconds)
Cbc0010I After 49230 nodes, 18289 on tree, 1590 best solution, best possible 560 (3433.00 seconds)
Cbc0010I After 49255 nodes, 18289 on tree, 1590 best solution, best possible 560 (3433.73 seconds)
Cbc0010I After 49268 nodes, 18276 on tree, 1590 best solution, best possible 560 (3434.48 seconds)
Cbc0010I After 49277 nodes, 18267 on tree, 1590 best solution, best possible 560 (3435.23 seconds)
Cbc0010I After 49288 nodes, 18256 on tree, 1590 best solution, best possible 560 (3435.98 seconds)
Cbc0010I After 49296 nodes, 18248 on tree, 1590 best solution, best possible 560 (3436.72 seconds)
Cbc0010I After 49305 nodes, 18239 on tree, 1590 best solution, best possible 560 (3437.45 seconds)
Cbc0010I After 49318 nodes, 18233 on tree, 1590 best solution, best possible 560 (3438.15 seconds)
Cbc0010I After 49333 nodes, 18244 on tree, 1590 best solution, best possible 560 (3438.87 seconds)
Cbc0010I After 49355 nodes, 18264 on tree, 1590 best solution, best possible 560 (3439.59 seconds)
Cbc0010I After 49373 nodes, 18282 on tree, 1590 best solution, best possible 560 (3440.29 seconds)
Cbc0010I After 49390 nodes, 18292 on tree, 1590 best solution, best possible 560 (3441.01 seconds)
Cbc0010I After 49410 nodes, 18305 on tree, 1590 best solution, best possible 560 (3441.72 seconds)
Cbc0010I After 49429 nodes, 18306 on tree, 1590 best solution, best possible 560 (3442.44 seconds)
Cbc0010I After 49452 nodes, 18311 on tree, 1590 best solution, best possible 560 (3443.16 seconds)
Cbc0010I After 49480 nodes, 18311 on tree, 1590 best solution, best possible 560 (3443.87 seconds)
Cbc0010I After 49512 nodes, 18310 on tree, 1590 best solution, best possible 560 (3444.58 seconds)
Cbc0010I After 49541 nodes, 18305 on tree, 1590 best solution, best possible 560 (3445.29 seconds)
Cbc0010I After 49557 nodes, 18292 on tree, 1590 best solution, best possible 560 (3446.10 seconds)
Cbc0010I After 49572 nodes, 18289 on tree, 1590 best solution, best possible 560 (3446.83 seconds)
Cbc0010I After 49592 nodes, 18299 on tree, 1590 best solution, best possible 560 (3447.54 seconds)
Cbc0010I After 49617 nodes, 18309 on tree, 1590 best solution, best possible 560 (3448.24 seconds)
Cbc0010I After 49645 nodes, 18293 on tree, 1590 best solution, best possible 560 (3448.98 seconds)
Cbc0010I After 49656 nodes, 18283 on tree, 1590 best solution, best possible 560 (3449.71 seconds)
Cbc0010I After 49676 nodes, 18301 on tree, 1590 best solution, best possible 560 (3450.43 seconds)
Cbc0010I After 49703 nodes, 18301 on tree, 1590 best solution, best possible 560 (3451.14 seconds)
Cbc0010I After 49721 nodes, 18314 on tree, 1590 best solution, best possible 560 (3451.85 seconds)
Cbc0010I After 49747 nodes, 18317 on tree, 1590 best solution, best possible 560 (3452.57 seconds)
Cbc0010I After 49778 nodes, 18329 on tree, 1590 best solution, best possible 560 (3453.28 seconds)
Cbc0010I After 49812 nodes, 18338 on tree, 1590 best solution, best possible 560 (3453.99 seconds)
Cbc0010I After 49831 nodes, 18319 on tree, 1590 best solution, best possible 560 (3454.69 seconds)
Cbc0010I After 49850 nodes, 18300 on tree, 1590 best solution, best possible 560 (3455.41 seconds)
Cbc0010I After 49864 nodes, 18286 on tree, 1590 best solution, best possible 560 (3456.11 seconds)
Cbc0010I After 49874 nodes, 18276 on tree, 1590 best solution, best possible 560 (3456.88 seconds)
Cbc0010I After 49887 nodes, 18284 on tree, 1590 best solution, best possible 560 (3457.60 seconds)
Cbc0010I After 49911 nodes, 18306 on tree, 1590 best solution, best possible 560 (3458.30 seconds)
Cbc0010I After 49942 nodes, 18319 on tree, 1590 best solution, best possible 560 (3459.02 seconds)
Cbc0010I After 49974 nodes, 18329 on tree, 1590 best solution, best possible 560 (3459.75 seconds)
Cbc0010I After 50000 nodes, 18326 on tree, 1590 best solution, best possible 560 (3460.46 seconds)
Cbc0010I After 50006 nodes, 18329 on tree, 1590 best solution, best possible 560 (3461.19 seconds)
Cbc0010I After 50013 nodes, 18333 on tree, 1590 best solution, best possible 560 (3461.92 seconds)
Cbc0010I After 50020 nodes, 18337 on tree, 1590 best solution, best possible 560 (3462.65 seconds)
Cbc0010I After 50028 nodes, 18340 on tree, 1590 best solution, best possible 560 (3463.47 seconds)
Cbc0010I After 50039 nodes, 18345 on tree, 1590 best solution, best possible 560 (3464.24 seconds)
Cbc0010I After 50049 nodes, 18351 on tree, 1590 best solution, best possible 560 (3464.94 seconds)
Cbc0010I After 50061 nodes, 18357 on tree, 1590 best solution, best possible 560 (3465.66 seconds)
Cbc0010I After 50070 nodes, 18361 on tree, 1590 best solution, best possible 560 (3466.40 seconds)
Cbc0010I After 50077 nodes, 18366 on tree, 1590 best solution, best possible 560 (3467.11 seconds)
Cbc0010I After 50085 nodes, 18371 on tree, 1590 best solution, best possible 560 (3467.82 seconds)
Cbc0010I After 50095 nodes, 18378 on tree, 1590 best solution, best possible 560 (3468.54 seconds)
Cbc0010I After 50103 nodes, 18383 on tree, 1590 best solution, best possible 560 (3469.25 seconds)
Cbc0010I After 50110 nodes, 18384 on tree, 1590 best solution, best possible 560 (3470.04 seconds)
Cbc0010I After 50120 nodes, 18389 on tree, 1590 best solution, best possible 560 (3470.75 seconds)
Cbc0010I After 50129 nodes, 18392 on tree, 1590 best solution, best possible 560 (3471.48 seconds)
Cbc0010I After 50138 nodes, 18396 on tree, 1590 best solution, best possible 560 (3472.25 seconds)
Cbc0010I After 50149 nodes, 18400 on tree, 1590 best solution, best possible 560 (3473.08 seconds)
Cbc0010I After 50160 nodes, 18406 on tree, 1590 best solution, best possible 560 (3473.78 seconds)
Cbc0010I After 50170 nodes, 18412 on tree, 1590 best solution, best possible 560 (3474.57 seconds)
Cbc0010I After 50178 nodes, 18418 on tree, 1590 best solution, best possible 560 (3475.28 seconds)
Cbc0010I After 50186 nodes, 18420 on tree, 1590 best solution, best possible 560 (3476.00 seconds)
Cbc0010I After 50199 nodes, 18426 on tree, 1590 best solution, best possible 560 (3476.74 seconds)
Cbc0010I After 50213 nodes, 18434 on tree, 1590 best solution, best possible 560 (3477.48 seconds)
Cbc0010I After 50225 nodes, 18439 on tree, 1590 best solution, best possible 560 (3478.22 seconds)
Cbc0010I After 50237 nodes, 18445 on tree, 1590 best solution, best possible 560 (3478.97 seconds)
Cbc0010I After 50252 nodes, 18454 on tree, 1590 best solution, best possible 560 (3479.71 seconds)
Cbc0010I After 50268 nodes, 18463 on tree, 1590 best solution, best possible 560 (3480.47 seconds)
Cbc0010I After 50281 nodes, 18468 on tree, 1590 best solution, best possible 560 (3481.18 seconds)
Cbc0010I After 50294 nodes, 18474 on tree, 1590 best solution, best possible 560 (3481.88 seconds)
Cbc0010I After 50310 nodes, 18483 on tree, 1590 best solution, best possible 560 (3482.63 seconds)
Cbc0010I After 50323 nodes, 18488 on tree, 1590 best solution, best possible 560 (3483.34 seconds)
Cbc0010I After 50335 nodes, 18495 on tree, 1590 best solution, best possible 560 (3484.07 seconds)
Cbc0010I After 50346 nodes, 18500 on tree, 1590 best solution, best possible 560 (3484.81 seconds)
Cbc0010I After 50359 nodes, 18506 on tree, 1590 best solution, best possible 560 (3485.54 seconds)
Cbc0010I After 50375 nodes, 18514 on tree, 1590 best solution, best possible 560 (3486.28 seconds)
Cbc0010I After 50387 nodes, 18520 on tree, 1590 best solution, best possible 560 (3487.00 seconds)
Cbc0010I After 50400 nodes, 18528 on tree, 1590 best solution, best possible 560 (3487.73 seconds)
Cbc0010I After 50414 nodes, 18534 on tree, 1590 best solution, best possible 560 (3488.44 seconds)
Cbc0010I After 50426 nodes, 18540 on tree, 1590 best solution, best possible 560 (3489.15 seconds)
Cbc0010I After 50437 nodes, 18545 on tree, 1590 best solution, best possible 560 (3489.87 seconds)
Cbc0010I After 50449 nodes, 18553 on tree, 1590 best solution, best possible 560 (3490.59 seconds)
Cbc0010I After 50461 nodes, 18556 on tree, 1590 best solution, best possible 560 (3491.30 seconds)
Cbc0010I After 50474 nodes, 18564 on tree, 1590 best solution, best possible 560 (3492.05 seconds)
Cbc0010I After 50489 nodes, 18571 on tree, 1590 best solution, best possible 560 (3492.77 seconds)
Cbc0010I After 50500 nodes, 18576 on tree, 1590 best solution, best possible 560 (3493.52 seconds)
Cbc0010I After 50513 nodes, 18583 on tree, 1590 best solution, best possible 560 (3494.25 seconds)
Cbc0010I After 50528 nodes, 18591 on tree, 1590 best solution, best possible 560 (3494.98 seconds)
Cbc0010I After 50545 nodes, 18600 on tree, 1590 best solution, best possible 560 (3495.70 seconds)
Cbc0010I After 50562 nodes, 18607 on tree, 1590 best solution, best possible 560 (3496.44 seconds)
Cbc0010I After 50572 nodes, 18612 on tree, 1590 best solution, best possible 560 (3497.15 seconds)
Cbc0010I After 50586 nodes, 18619 on tree, 1590 best solution, best possible 560 (3497.91 seconds)
Cbc0010I After 50596 nodes, 18625 on tree, 1590 best solution, best possible 560 (3498.65 seconds)
Cbc0010I After 50605 nodes, 18630 on tree, 1590 best solution, best possible 560 (3499.36 seconds)
Cbc0010I After 50616 nodes, 18634 on tree, 1590 best solution, best possible 560 (3500.12 seconds)
Cbc0010I After 50630 nodes, 18642 on tree, 1590 best solution, best possible 560 (3500.86 seconds)
Cbc0010I After 50646 nodes, 18652 on tree, 1590 best solution, best possible 560 (3501.57 seconds)
Cbc0010I After 50660 nodes, 18657 on tree, 1590 best solution, best possible 560 (3502.31 seconds)
Cbc0010I After 50673 nodes, 18662 on tree, 1590 best solution, best possible 560 (3503.04 seconds)
Cbc0010I After 50684 nodes, 18669 on tree, 1590 best solution, best possible 560 (3503.79 seconds)
